Date,x1,x2,x3,x4,x5,x6,x7,x8,y
05-Jan-18,0.354,0.195,0.103,2.680,0.717,0.218,0.460,1.400,40.100
09-Feb-18,0.622,0.390,0.117,4.680,0.808,0.436,0.613,1.400,40.100
09-Mar-18,0.762,0.427,0.164,5.319,0.904,0.513,0.736,13.600,40.100
13-Apr-18,0.272,0.149,0.087,2.297,0.621,0.126,0.303,42.900,40.100
05-Jan-18,0.379,0.195,0.101,2.363,0.735,0.226,0.482,1.400,40.300
09-Feb-18,0.630,0.393,0.113,4.086,0.813,0.456,0.615,1.400,40.300
09-Mar-18,0.772,0.431,0.167,5.274,0.903,0.528,0.734,13.600,40.300
13-Apr-18,0.234,0.157,0.086,1.926,0.636,0.131,0.306,42.900,40.300
05-Jan-18,0.369,0.195,0.110,2.550,0.724,0.223,0.499,1.400,39.900
09-Feb-18,0.626,0.356,0.115,4.445,0.809,0.467,0.612,1.400,39.900
09-Mar-18,0.774,0.431,0.171,5.266,0.906,0.506,0.752,13.600,39.900
13-Apr-18,0.240,0.172,0.085,1.989,0.647,0.144,0.331,42.900,39.900
05-Jan-18,0.343,0.182,0.106,2.552,0.701,0.213,0.484,1.400,40.100
09-Feb-18,0.618,0.337,0.108,4.995,0.808,0.463,0.611,1.400,40.100
09-Mar-18,0.837,0.474,0.159,6.000,0.920,0.524,0.741,13.600,40.100
13-Apr-18,0.279,0.144,0.083,1.866,0.621,0.120,0.327,42.900,40.100
05-Jan-18,0.352,0.172,0.115,2.688,0.715,0.202,0.483,1.400,40.300
09-Feb-18,0.599,0.329,0.109,4.863,0.812,0.450,0.606,1.400,40.300
09-Mar-18,0.779,0.439,0.166,5.370,0.906,0.551,0.735,13.600,40.300
13-Apr-18,0.299,0.134,0.094,1.954,0.613,0.112,0.319,42.900,40.300
09-Jan-19,0.280,0.173,0.099,2.151,0.661,0.169,0.342,0.100,41.000
30-Jan-19,0.408,0.242,0.182,3.601,0.757,0.329,0.552,48.400,41.000
08-Mar-19,0.684,0.383,0.302,4.958,0.879,0.486,0.697,77.200,41.000
27-Mar-19,0.732,0.472,0.335,5.497,0.904,0.513,0.703,16.400,41.000
09-Jan-19,0.276,0.172,0.097,2.194,0.686,0.167,0.322,0.100,41.100
30-Jan-19,0.470,0.256,0.187,3.581,0.754,0.337,0.585,48.400,41.100
08-Mar-19,0.721,0.385,0.331,5.179,0.880,0.510,0.703,77.200,41.100
