x4.1,x4.2,x4.3,x4.4,y
2.68,4.68,5.319,2.297,40.1
2.363,4.086,5.274,1.926,40.3
2.55,4.445,5.266,1.989,39.9
2.552,4.995,6,1.866,40.1
2.688,4.863,5.37,1.954,40.3
2.151,3.601,4.958,5.497,41
2.194,3.581,5.179,5.416,41.1
2.235,3.114,4.667,5.794,40.9
2.219,3.217,4.472,5.388,40.95
2.147,3.232,4.225,5.871,41
2.109,3.626,4.258,5.179,41.1
2.11,3.654,4.141,5.368,40.9
2.162,3.553,4.399,5.421,40.95
1.581,3.114,3.808,4.081,40.1
1.53,3.217,3.78,4.127,40.2
1.569,3.232,3.866,4.201,39.9
1.579,3.314,3.9,4.027,40.1
1.594,3.019,3.959,4.139,40.2
1.868,3.169,3.752,4.087,39.9
1.548,3.217,3.815,4.114,40.1
1.511,3.181,3.924,4.183,40.2
1.826,3.154,3.882,4.218,39.9
1.625,3.08,3.913,4.159,40.1
2.015,3.224,3.862,4.196,40.2
1.884,3.552,3.771,4.315,39.9
2.015,3.601,3.997,4.161,40.1
1.541,3.165,3.992,4.134,40.2
1.579,3.05,3.958,4.001,39.9
